name,categories,prestige,points,pit_stop,start_type,field_type,parc_ferme,events_count,tags,init_month,init_day,registration_start_month,registration_start_day,registration_end_month,registration_end_day,start_year,end_year,default_included,intro
Caterham Academy,Cat_Academy,30,"25,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",FALSE,standing,,TRUE,6,"Caterham,One Make,United Kingdom",1,3,1,12,1,19,2014,,FALSE,"Welcome to the peculiar world of Caterhams, your 270R weighs next to nothing and only puts out around 135 horsepower, but with no electronic aids and no bodywork to shield you from the wind, every corner becomes a lesson in pure sensation. The live rear axle and ultra-direct steering will force you to relearn the meaning of delicacy on the throttle, the slightest clumsiness gets punished instantly with a snap sideways. It's a demanding but honest school: master weight transfer here, and you'll have laid the groundwork for a career in single-seaters or GTs alike."
Caterham Roadsport,Cat_Supersport,35,"25,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,1,1,1,1,1,1,1,1",FALSE,standing,,TRUE,7,"Caterham,One Make,Europe",1,3,1,12,1,19,2014,,FALSE,"Time for the Supersport 360R, quicker and wider on its footprint than the 270R, its 2.0-litre engine pushing the power-to-weight ratio to 360 horsepower per tonne, just as the name promises. The grippier tyres and reworked suspension will finally let you properly attack the kerbs, but don't get overconfident: the chassis remains as twitchy as ever, and any excess speed on turn-in will reward you with a beautiful spin in front of everyone. A stronger grid, a sharper edge, it's up to you to turn that aggression into rhythm."
Caterham Seven Championship,Cat_Superlight,40,"25,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,1,1,1,1,1,1,1,1",FALSE,standing,,TRUE,8,"Caterham,One Make,Europe",1,3,1,12,1,19,2014,,FALSE,"Here's the top of the Seven pyramid, where you'll find the Superlight 360R, just as light and unbreakable as a 270R but honed like the 360R whose name it carries, with aero and setup work that no longer forgives any mistake in your line. This is the strongest field in the whole Caterham ladder, filled with drivers who've already proven themselves at the lower rungs and won't hesitate to have a go at you under braking. Keep the car settled, stay patient in traffic, and remember: in a Seven, it's always the driver who makes the difference, never the technology."
Copa Classic RS,CopaClassicB,30,"25,18,15,12,10,8,6,4,2,1",FALSE,standing,,TRUE,5,"GT,South America,Retro",1,3,1,12,1,19,2016,,FALSE,"Welcome to the classic scene of Rio Grande do Sul, where a wonderfully mismatched grid of Chevettes, Unos, Gols, Passats, a 1965 Mini Cooper S and the sleek Puma GTE all share the same track. These are old-school machines with old-school manners: skinny tyres, soft suspension and engines that reward smoothness over brute force. Half the challenge is simply respecting the character of whichever era you're driving, the other half is out-thinking the very different car in your mirrors. Bring patience and a mechanical touch, and this grid will teach you plenty about racing outside your comfort zone."
Copa Fusca,CopaFusca,40,"25,18,15,12,10,8,6,4,2,1",FALSE,standing,identical,TRUE,8,"GT,South America,Retro,One Make",1,3,1,12,1,19,2011,,FALSE,"Nothing but Volkswagen Fuscas here, and nothing to hide behind either. The rear-engined layout means the back end will always have the final say, so smooth inputs and early throttle discipline are non-negotiable if you don't want to spend your afternoon facing the wrong way. It's a slow-car-fast kind of series, one where craft and car control count for far more than horsepower."
Copa Truck,CopaTruck,55,"18,16,14,12,11,10,9,8,7,6,5,4,3,2,1",FALSE,rolling,,TRUE,8,"Truck,South America",1,3,1,12,1,19,2017,,FALSE,"This is the wildest grid you'll ever share a paddock with: real highway trucks, stripped down, dropped low and turned up to over 1,000 horsepower, twice that of an average transport truck. Don't let the size fool you, some of these things will clear 240 km/h down the straights, so braking early and giving five tonnes of momentum the respect it deserves is essential. It's loud, it's physical, and wrestling a Stralis, TGX, Actros or Constellation through a proper circuit corner is unlike anything else in racing."
European Le Mans Series,"GT3,P1Gen2,LMP2_Gen1",84,"25,18,15,12,10,8,6,4,2,1",TRUE,rolling,,TRUE,6,"Multiclass,GT,Prototype,Europe,WEC",1,3,1,12,1,20,2023,,FALSE,"Just below the top rungs of endurance formats sits this contest, which throws in two different classes of prototypes to blast around a group of GT3 cars. The field can get snarled up very easily here, so avoiding collisions and off-track incidents is a must, tidy racing and watching out for safety cars can quickly turn the advantage your way!"
European Truck Racing Championship,CopaTruck,70,"10,9,8,7,6,5,4,3,2,1",FALSE,rolling,,TRUE,8,"Truck,Europe",1,3,1,12,1,19,2017,,FALSE,"The European stage for big-rig racing brings the same monstrous, over-powered Stralis, TGX, Actros and Constellation trucks to some of the continent's classic circuits. Braking distances are enormous and the trucks fight for space like anything else on the grid, so respect for the machinery and for your fellow drivers goes a long way. Keep it smooth, keep it patient, and enjoy the sheer spectacle of hauling that much weight around a race track."
F1600,F-Trainer,35,"50,42,37,34,31,29,27,25,23,21,19,17,15,13,11,9,8,7,6,5,4,3,2,1",FALSE,standing,,FALSE,7,"Open Wheel,North America",1,3,1,12,1,23,2011,,FALSE,"The Formula Trainers you'll encounter in this American Spec Series are a proper appetiser for Formula racing, they can be thrown around a fair bit on the track, and won't bite too hard if you overdo it; but you won't go anywhere quickly. There're no wings to keep you planted on the road, and the mechanical grip is low, keep it controlled, and you'll win."
FIA GT Championship,"GT1_05,GT2_05",80,"10,8,6,5,4,3,2,1",FALSE,rolling,,TRUE,8,"Multiclass,GT,Europe",1,3,1,12,1,19,2000,2013,FALSE,
Fiat Uno ASM,CopaUno,35,"18,15,13,11,10,9,8,7,6,5,4,3,2",FALSE,standing,identical,TRUE,5,"GT,South America,Retro",1,3,1,12,1,19,2015,,FALSE,"A tight one-make battle awaits in the '95 Fiat Uno, no excuses about a slower car in someone else's hands here, it's pure driver versus driver. Light, front-driven and eager to change direction, the Uno rewards a clean, economical style far more than outright aggression. Learn to carry momentum through the twisty bits and you'll find yourself hard to pass, even in a field with nothing separating the machinery."
Formula 1 (Classic Gen 1),F-Classic_Gen1,100,"9,6,4,3,2,1",FALSE,standing,,FALSE,16,"Open Wheel,World,F1",1,3,1,12,1,19,1986,1987,FALSE,
Formula 1 (Classic Gen 2),F-Classic_Gen2,100,"9,6,4,3,2,1",FALSE,standing,,FALSE,16,"Open Wheel,World,F1",1,3,1,12,1,19,1988,1989,FALSE,
Formula 1 (Classic Gen 3),F-Classic_Gen3,100,"9,6,4,3,2,1",FALSE,standing,,FALSE,16,"Open Wheel,World,F1",1,3,1,12,1,19,1990,1990,FALSE,
Formula 1 (Classic Gen 4),F-Classic_Gen4,100,"10,6,4,3,2,1",FALSE,standing,,FALSE,16,"Open Wheel,World,F1",1,3,1,12,1,19,1991,1991,FALSE,
Formula 1 (Edge),FE-G1,100,"10,6,4,3,2,1",FALSE,standing,,FALSE,16,"Open Wheel,World,F1",1,3,1,12,1,19,1995,1996,FALSE,
Formula 1 (HiTech Gen 1),F-Hitech_Gen1,100,"10,6,4,3,2,1",FALSE,standing,,FALSE,16,"Open Wheel,World,F1",1,3,1,12,1,19,1992,1992,FALSE,
Formula 1 (HiTech Gen 2),F-Hitech_Gen2,100,"10,6,4,3,2,1",FALSE,standing,,FALSE,16,"Open Wheel,World,F1",1,3,1,12,1,19,1993,1994,FALSE,
Formula 1 (Hybrid Gen 1),F-Ultimate_Gen1,100,"25,18,15,12,10,8,6,4,2,1",TRUE,standing,identical,TRUE,20,"Open Wheel,World,F1",1,3,1,12,1,19,2016,2018,FALSE,
Formula 1 (Hybrid Gen 2),F-Ultimate,100,"25,18,15,12,10,8,6,4,2,1",TRUE,standing,identical,TRUE,22,"Open Wheel,World,F1",1,3,1,12,1,19,2019,2021,FALSE,
Formula 1 (Hybrid Gen 3),F-Ultimate_Gen2,100,"25,18,15,12,10,8,6,4,2,1",TRUE,standing,identical,TRUE,24,"Open Wheel,World,F1",1,3,1,12,1,19,2022,,FALSE,"This is it, the best drivers in the fastest cars, ground-effects, ERS, DRS, nearly a thousand horsepower. If you can control the lightning-fast acceleration and cornering in these cars, you can drive anything. The racing here will demand all your speed, your positioning and your ability to battle, the ultimate prize awaits the driver who can master them."
Formula 1 (Retro Gen 1),F-Retro_Gen1,100,"9,6,4,3,2,1",FALSE,standing,,FALSE,16,"Open Wheel,World,F1",1,3,1,12,1,19,1974,1977,FALSE,
Formula 1 (Retro Gen 2),F-Retro_Gen2,100,"9,6,4,3,2,1",FALSE,standing,,FALSE,16,"Open Wheel,World,F1",1,3,1,12,1,19,1978,1982,FALSE,
Formula 1 (Retro Gen 3),F-Retro_Gen3,100,"9,6,4,3,2,1",FALSE,standing,,FALSE,16,"Open Wheel,World,F1",1,3,1,12,1,19,1983,1985,FALSE,
Formula 1 (V10 Gen 1),F-V10_Gen1,100,"10,6,4,3,2,1",FALSE,standing,,FALSE,16,"Open Wheel,World,F1",1,3,1,12,1,19,1997,1999,FALSE,
Formula 1 (V10 Gen 2),F-V10_Gen2,100,"10,8,6,5,4,3,2,1",FALSE,standing,,FALSE,17,"Open Wheel,World,F1",1,3,1,12,1,19,2000,2004,FALSE,
Formula 1 (V10 Gen 3),F-V10_Gen3,100,"10,8,6,5,4,3,2,1",FALSE,standing,,TRUE,19,"Open Wheel,World,F1",1,3,1,12,1,19,2005,2005,FALSE,
Formula 1 (V8 Gen 1),F-V8_Gen1,100,"10,8,6,5,4,3,2,1",FALSE,standing,,TRUE,18,"Open Wheel,World,F1",1,3,1,12,1,19,2006,2007,FALSE,
Formula 1 (V8 Gen 2),F-V8_Gen2,100,"10,8,6,5,4,3,2,1",FALSE,standing,,TRUE,18,"Open Wheel,World,F1",1,3,1,12,1,19,2008,2009,FALSE,
Formula 1 (V8 Gen 3),F-Reiza,100,"25,18,15,12,10,8,6,4,2,1",TRUE,standing,identical,TRUE,19,"Open Wheel,World,F1",1,3,1,12,1,19,2010,2015,FALSE,
Formula 1 (Vintage Gen 1),F-Vintage_Gen1,100,"9,6,4,3,2,1",FALSE,standing,,FALSE,11,"Open Wheel,World,F1",1,3,1,12,1,19,1967,1968,FALSE,
Formula 1 (Vintage Gen 2),F-Vintage_Gen2,100,"9,6,4,3,2,1",FALSE,standing,,FALSE,13,"Open Wheel,World,F1",1,3,1,12,1,19,1969,1973,FALSE,
Formula 2,F-Reiza,91,"25,18,15,12,10,8,6,4,2,1",TRUE,standing,identical,TRUE,12,"Open Wheel,World,F1",1,3,1,12,1,19,2017,,FALSE,"The road to F1 culminates in this all-or-nothing championship, featuring energy management, 4G cornering and DRS. These skinny-winged, lightweight rockets are incredibly sensitive and responsive, and the standard of driving required to tame these beasts is exceptionally high. Score high in this series and you might be ready for the very top."
Formula 3,F-3,80,"25,18,15,12,10,8,6,4,2,1",FALSE,standing,,TRUE,10,"Open Wheel,World,F1",1,3,1,12,1,20,2017,,FALSE,"This championship is where open-wheeled hopefuls come to prove themselves against all the other hottest prospects, as it follows most of the F2 and F1 calendar. The Dallara-built cars will separate those who can handle the faster Formula machines from those who can't, and if you impress here, you might find more doors opening towards the top."
Formula 4 Northern Europe,F-Trainer_A,55,"25,18,15,12,10,8,6,4,2,1",FALSE,standing,,TRUE,6,"Open Wheel,Europe",1,3,1,12,1,22,2013,,FALSE,"Time for an Atlantic-facing competition with the Formula Trainer Advanced, just as with the USFJ category, the Formula 4 series is all about finding mechanical grip in a twitchy open-wheeler. Take care not to overheat the slick rubber, if you lose the window, you'll find yourself falling back."
Formula 4 Southern Europe,F-Trainer_A,59,"25,18,15,12,10,8,6,4,2,1",FALSE,standing,,TRUE,6,"Open Wheel,Europe",1,3,1,12,1,22,2013,,FALSE,"Prepare for a Mediterranean tour with the Formula Trainer Advanced, these circuits are well suited to getting the twitchy back end out, and snatching positions with well-timed switchbacks. Concentrate in the esses, pick your placement carefully during some of the longer straights, and don't be bullied off the track if you want to clear your rivals."
Formula 4 UK,F-Trainer_A,57,"25,18,15,12,10,8,6,4,2,1",FALSE,standing,,TRUE,10,"Open Wheel,United Kingdom",1,3,1,12,1,22,2013,,FALSE,"This Formula 4 series has a larger calendar than the continental series, so focus on scoring consistent points and keeping the Formula Trainer Advanced out of the wars. It's a delicate machine, and you can always claw back better points on the following races, so don't be too keen to bang wheels off the start line!"
Formula Inter,F-Inter,50,"20,15,12,10,8,6,4,3,2,1",FALSE,standing,,TRUE,5,"Open Wheel,South America",1,3,1,12,1,22,2016,,FALSE,
Formula Junior Historics North America,F-Junior,50,"10,8,6,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1",FALSE,standing,identical,TRUE,5,"Historic,Open Wheel,North America",1,3,1,12,1,19,1998,,FALSE,"Welcome to the North American home of a category that shaped the earliest years of open-wheel racing, the very same 1.0 to 1.1-litre front and rear-engined Formula Juniors that once launched future world champions on the other side of the Atlantic, now brought back to life on this continent's classic circuits. With so little power on tap, there's no engine to bail out a scrubbed corner, momentum is everything, and mechanical sympathy matters just as much as raw pace. These are irreplaceable pieces of racing history, so respect for the machinery comes first, but that's never stopped this grid from producing some of the tightest, most technical wheel-to-wheel battles in historic racing. Get your rhythm right in a car this light and this analog, and you'll come away with a driving education few modern categories can offer."
Formula Vee Brasil,F-Vee_Gen2,30,"25,21,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",FALSE,standing,,TRUE,6,"Open Wheel,South America",1,3,1,12,1,23,2025,,FALSE,
Formula Vee Germany,F-Vee_Gen2,32,"25,22,20,18,16,14,12,11,10,9,8,7,6,5,4,3,2,1",FALSE,standing,,FALSE,6,"Open Wheel,Europe",1,3,1,12,1,23,2025,,FALSE,"Welcome to the German tour for Formula Vee, a series well suited to the capricious weather you can expect to encounter on the tracks here. Fortunately the Vee's come with road-going all-weather tyres, so rain or shine, you'll still be expected to balance the slippery rears and just shy of 100hp in racing machines that weigh less than a Smart Car!"
Formula Vee North America,F-Vee_Gen2,30,"25,21,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",FALSE,standing,,FALSE,6,"Open Wheel,North America",1,3,1,12,1,23,2025,,FALSE,"A taste of single-seater racing awaits with a tour across some American greats, you may be surprised to find a humble 4-pot road engine and 5-speed box under the cover of these lightweight racers, but underestimate them and be prepared to face the gravel. The swing-axles on the rear will challenge your sense of road feel, and your patience with the throttle!"
Formula Vee UK,F-Vee_Gen2,34,"25,22,20,18,16,14,12,11,10,9,8,7,6,5,4,3,2,1",FALSE,standing,,FALSE,6,"Open Wheel,United Kingdom",1,3,1,12,1,23,2025,,FALSE,"The twisty, rollercoaster rides of the UK series are an appropriate match for the Formula Vees; with locked differentials, twitchy handling and road rubber, you'll have your hands full making it to the finish line. Plan ahead, stick to your lines through the curves, and don't be tempted into any shoving matches, these nimble machines are delicate!"
FRECA,F-Inter,65,"25,18,15,12,10,8,6,4,2,1",FALSE,standing,,TRUE,10,"Open Wheel,Europe",1,3,1,12,1,21,2021,,FALSE,"This regional European championship is tucked well into the middle of Formula 3 and 4, and the F4 spec cars you'll be racing against are capable of some very quick laptimes, you don't have a massive amount of power here, but neither do your opponents. Remember, smooth inputs, carry your speed through the slower sections and bag those points."
Ginetta GT4 Supercup,G55Supercup,40,"25,20,17,14,12,10,9,8,7,6,5,4,3,2,1",FALSE,standing,,TRUE,6,"GT,One Make,United Kingdom",1,3,1,12,1,23,2011,2022,FALSE,"Welcome to Ginetta's one-make proving ground, where every G55 on the grid runs the same Ford 3.7-litre V6, producing 355 horsepower, paired with a Hewland six-speed sequential paddle-shift gearbox and next to nothing dividing the machinery. At just 1,085 kg, the G55 is a genuinely serious tool, front-engined and rear-wheel-drive with real GT3-derived aero, so there's no car to hide behind here, only your own inputs. It's widely seen as a proper stepping stone into international GT racing, which means the grid is stacked with drivers who already know how to find the last tenth. Consistency, race-craft and a clean start will matter far more than outright bravery, because in a field this equal, the smallest mistake is the whole story of your weekend."
Ginetta Junior Championship Europe,G40Cup,32,"25,20,17,14,12,10,9,8,7,6,5,4,3,2,1",FALSE,standing,,FALSE,6,"GT,One Make,Europe",1,3,1,12,1,23,2010,,FALSE,"The European front for this spec series tests how well you keep a sub-1000kg four-pot in the points, only in this one you'll be pushing the G40 Cup across a variety of continental classics, then it's all about putting together what you've built up in preparation for a full circuit race at the end. Straight nose on the exits and watch out for any divebombs!"
Ginetta Junior Championship North America,G40Cup,30,"25,20,17,14,12,10,9,8,7,6,5,4,3,2,1",FALSE,standing,,FALSE,6,"GT,North America,One Make",1,3,1,12,1,23,2010,,FALSE,"This spec sports car series is all about picking your lines and feeling the flow-state of transferring weight from one corner to the next, the Ginettas may be small, but they're nimble and as well-equipped as any hardcore racing car ought to be. You may be thankful of the FR layout and Limited Slip Diff when plunging down tight corkscrews and bends."
Ginetta Junior Championship UK,G40Cup,34,"25,20,17,14,12,10,9,8,7,6,5,4,3,2,1",FALSE,standing,,FALSE,6,"GT,One Make,United Kingdom",1,3,1,12,1,23,2010,,FALSE,"The home series for the Ginetta G40 Cup you'll be racing, this is where the car was designed, tested and it's 1.8L Zetec engine stressed to the breaking point. So expect similarly fierce and gritty racing on the UK's sportscar tracks. Much like the European series, conditions can change exceptionally quickly on these tracks, if you can handle it, so can the car."
Gold Classic,CopaClassicFL,34,"25,18,15,12,10,8,6,4,2,1",FALSE,standing,,TRUE,6,"GT,South America,Retro",1,3,1,12,1,19,2018,,FALSE,"A step up from the regional classic scene, Gold Classic gathers the same charming mix of homegrown metal — Fuscas, Puma GTBs, Gols and Passats — for a more prestigious calendar. The rear-engined Fusca and the fibreglass-bodied Puma GTB couldn't be more different to drive, one asks for patience with its pendulum-like weight, the other rewards a bit more bravery through the fast stuff. Whichever you're strapped into, consistency and car sympathy separate the podium from the also-rans in a field this varied."
Gran Turismo Hyper Series,Hypercars,40,"25,18,15,12,10,8,6,4,2,1",FALSE,standing,,FALSE,15,"GT,World",1,3,1,12,1,19,2019,,FALSE,"This is the summit, hypercars with the kind of power, aero and technology that blur the line between road car and prototype racer. Every circuit on this calendar is chosen because it can actually contain what these machines are capable of, and even then you'll find yourself right on the edge of what's humanly possible to control. There's no more room to learn on the job at this level, only refine what you already know, manage tyres and energy across a full stint, and trust a car that will reward total commitment as readily as it punishes the smallest lapse in concentration."
Gran Turismo Street Series,Street,25,"25,18,15,12,10,8,6,4,2,1",FALSE,standing,,FALSE,10,"GT,World",1,3,1,12,1,19,2019,,FALSE,"Welcome to where it all begins, real street-legal machinery, straight off the showroom floor and onto some of the most iconic circuits in the world. These cars still carry their factory ABS, traction control and everyday road manners, so the racing is close and forgiving of small mistakes, but that also means there's nowhere to hide behind horsepower, it's your lines and your braking points that will decide the result. Think of it as the purest test of raw driving skill, learn to extract every last bit of performance from a car that was never built to be pushed this hard, and you'll be ready for anything the ladder throws at you next."
Gran Turismo Super Series,Supercars,30,"25,18,15,12,10,8,6,4,2,1",FALSE,standing,,FALSE,12,"GT,World",1,3,1,12,1,19,2019,,FALSE,"Step up into proper supercar territory now, carbon-ceramic brakes, forced induction, and enough downforce and grip to make you question everything you thought you knew about braking distances. These cars ask for real commitment, the speeds are higher, the margins are tighter, and a moment of hesitation into a fast corner will cost you far more than it did in the Street Series. The grid here is stacked with drivers who've already proven themselves on the way up, so expect wheel-to-wheel racing at speeds that will keep your heart rate up for the entire session."
GT Revival Series,GT1_05,58,"25,18,15,12,10,8,6,4,2,1",TRUE,standing,,FALSE,5,"GT,SRO",1,3,1,12,1,22,2026,,FALSE,"This classic format will see you racing against many legendary GT1 machines on some of their equally famous tracks, these cars are still fierce, large-displacement machines , and will throw nearly 600hp at the road with barely any driver aids! Be prepared for combative racing, but remember the cost in the pits if you get too eager in wheel-to-wheel."
GT World Challenge America,GT3_Gen2,85,"25,18,15,12,10,8,6,4,2,1",TRUE,rolling,,TRUE,7,"GT,North America,SRO",1,3,1,12,1,20,2022,,FALSE,"Big grids, big wings and big tracks are the name of the game in this American GT3 championship, the second generation cars all feature generous amounts of downforce, traction control, ABS and a variety of powertrains that duel with well over 500hp. You'll have to learn your car's advantages and weaknesses quickly, and maximise what you have to win."
GT World Challenge Europe,GT3_Gen2,90,"25,18,15,12,10,8,6,4,2,1",TRUE,rolling,,TRUE,10,"GT,Europe,SRO",1,3,1,12,1,20,2022,,FALSE,"The GT3 Championship comes to Europe for a huge variety pack of sprints, long races and even a full 24 feature. Much like the high-powered, high-downforce cars in this tournament, the mixed format offers a lot of points for drivers who can adapt to different race lengths and keep finishing well. Keep in scoring positions and you'll bag silverware."
GT World Challenge Sprint,GT3_Gen2,72,"25,18,15,12,10,8,6,4,2,1",TRUE,standing,,TRUE,6,"GT,SRO",1,3,1,12,1,21,2022,,FALSE,"This Sprint series will have you fighting for the chequered flag in the latest generation of GT3 racing cars, the drivers here will push you to the limit as much as the cars will. Have confidence in the downforce and grip that these cars can give you, and success in these brackets could pave the way to the top tier of endurance racing, if you want it."
GT4 America,GT4,61,"25,18,15,12,10,8,6,4,2,1",TRUE,rolling,,TRUE,7,"GT,North America,SRO",1,3,1,12,1,23,2017,,FALSE,"Welcome to a strongly competitive GT4 contest, the cars in this class are not too far removed from road cars, but all feature well over 400 horsepower, track tyres and significantly lighter frames than their domestic siblings. The calibre of competition in this division is often a big step-up from club sports and one-makes. Be prepared for some tough battles."
GT4 European Series,GT4,66,"25,18,15,12,10,8,6,4,2,1",TRUE,rolling,,TRUE,6,"GT,Europe,SRO",1,3,1,12,1,23,2017,,FALSE,"Flat sixes, V8s, V10s, FR, MR, you'll see it all with this GT4 competition, as it's very much like it's bigger brother series. No matter what you're driving in this field, you will have to maximise the package you're given, and be patient for opportunities even if the track doesn't favour your car, keep your nose clean and wait for right moment to pounce!"
GT5 Intercontinental Clash,GT5,40,"25,20,17,14,12,10,9,8,7,6,5,4,3,2,1",FALSE,standing,,TRUE,6,"GT,World",1,3,1,12,1,19,2013,,FALSE,"Two continents, two very different schools of grassroots racing, brought together on one grid. The Ginetta G40 is a proper British club-racing staple, light, front-engined and built to reward a clean, patient style, while the Puma P052 carries all that Brazilian sports-prototype pedigree, a bit more edge to its balance and a bit more reward for the driver willing to carry speed into the corner. Bouncing between Britain's technical, high-grip layouts and Brazil's faster, more flowing circuits means you'll need to adapt your whole approach race to race, what works at home won't necessarily work away. Master both cars and both continents' worth of circuits, and you'll come out of this one of the most complete drivers on the ladder."
Império Endurance Brasil,"P1,P3,GT3",75,"150,130,115,105,100,95,90,85,80,75",TRUE,rolling,,TRUE,8,"GT,Prototype,Multiclass,South America",1,3,1,12,1,19,2017,2019,FALSE,
Império Endurance Brasil (2020),"P1,P2,GT3,GT4",75,"150,130,115,105,100,95,90,85,80,75",TRUE,rolling,,TRUE,8,"GT,Prototype,Multiclass,South America",1,3,1,12,1,19,2020,2022,FALSE,
Império Endurance Brasil (2023),"P1Gen2,GT3_Gen2,GT4",75,"150,130,115,105,100,95,90,85,80,75",TRUE,rolling,,TRUE,8,"GT,Prototype,Multiclass,South America",1,3,1,12,1,19,2023,,FALSE,"Welcome to Brazil's premier endurance stage, where P1 prototypes, GT3 and GT4 machinery all share the same track at the same time. Reading traffic becomes just as important as raw pace here, a backmarker GT4 car can cost you as much time as a bad lap if you misjudge a blue flag zone, so patience and awareness matter as much as speed. With multiple drivers, pit stops and fuel strategy all coming into play across the distance, this is as much a test of teamwork and consistency as it is of outright talent, one driver's mistake in the final stint can undo hours of clean work by the rest of the crew. Respect the faster prototypes, respect the class below you, and above all respect the distance, this is a war of attrition as much as it is a race."
