name,categories,prestige,init_month,init_day,registration_start_month,registration_start_day,registration_end_month,registration_end_day,points,pit_stop,start_type,field_type,events_count,tags,start_year,end_year,default_included
IMSA Michelin Pilot Challenge,"GT4, MiniChallenge",50,1,3,1,12,1,22,"350, 320, 300, 280, 260, 250, 240, 230, 220, 210, 200, 190, 180, 170, 160, 150, 140, 130, 120, 110, 100, 90, 80, 70, 60, 50, 40, 30, 20, 10",TRUE,rolling,,11,"GT, Multiclass, North America, IMSA",,,
Michelin Le Mans Cup,"GT3, P1Gen2",47,1,3,1,12,1,22,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",TRUE,rolling,,6,"GT, Multiclass, Europe, WEC",,,
USF Junior,F-Trainer_A,44,1,3,1,12,1,22,"30, 25, 22, 19, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",FALSE,standing,,8,"Open Wheel, North America",,,
IMSA VP Racing SportsCar Challenge,"P1Gen2, GT3, GT4",42,1,3,1,12,1,23,"350, 320, 300, 280, 260, 250, 240, 230, 220, 210, 200, 190, 180, 170, 160, 150, 140, 130, 120, 110, 100, 90, 80, 70, 60, 50, 40, 30, 20, 10",FALSE,rolling,,11,"GT, Multiclass, North America, Prototype, IMSA",,,
National Formula Ford Championship,F-Trainer,41,1,3,1,12,1,23,"30, 27, 24,22,20,18,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",FALSE,standing,,8,"Open Wheel, United Kingdom",,,
Mini Challenge,MiniChallenge,38,1,3,1,12,1,23,"25, 20, 17, 14, 12, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",FALSE,standing,,6,"GT, One Make, United Kingdom",,,
F1600,F-Trainer,35,1,3,1,12,1,23,"50,42,37,34,31,29,27,25,23,21,19,17,15,13,11,9,8,7,6,5,4,3,2,1",FALSE,standing,,7,"Open Wheel, North America",,,
Ginetta Junior Championship UK,G40Cup,34,1,3,1,12,1,23,"25, 20, 17, 14, 12, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",FALSE,standing,,6,"GT, One Make, United Kingdom",,,
Formula Vee UK,F-Vee_Gen2,34,1,3,1,12,1,23,"25,22,20,18,16,14,12,11,10,9,8,7,6,5,4,3,2,1",FALSE,standing,,6,"Open Wheel, United Kingdom",,,
Ginetta Junior Championship Europe,G40Cup,32,1,3,1,12,1,23,"25, 20, 17, 14, 12, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",FALSE,standing,,6,"GT, One Make, Europe",,,
Formula Vee Germany,F-Vee_Gen2,32,1,3,1,12,1,23,"25,22,20,18,16,14,12,11,10,9,8,7,6,5,4,3,2,1",FALSE,standing,,6,"Open Wheel, Europe",,,
Ginetta Junior Championship North America,G40Cup,30,1,3,1,12,1,23,"25, 20, 17, 14, 12, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",FALSE,standing,,6,"GT, North America, One Make",,,
Formula Vee North America,F-Vee_Gen2,30,1,3,1,12,1,23,"25,21,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",FALSE,standing,,6,"Open Wheel, North America",,,
Ginetta GT4 Supercup,G55Supercup,40,1,3,1,12,1,23,"25, 20, 17, 14, 12, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",FALSE,standing,,6,"GT, One Make, United Kingdom",,,
NASCAR Cup Series,Stock_USA_Gen3,95,1,3,1,12,1,19,"40, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",TRUE,rolling,identical,16,"Stock Car, North America, NASCAR, Track mods",,,
ARCA Menards Series,Stock_USA_Gen2,70,1,3,1,12,1,19,"40, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",TRUE,rolling,identical,12,"Stock Car, North America, NASCAR, Track mods",,,
NASCAR Xfinity Series,Stock_USA_Gen3,85,1,3,1,12,1,19,"40, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",TRUE,rolling,identical,14,"Stock Car, North America, NASCAR, Track mods",,,
NASCAR Euro Series,Stock_USA_Gen3,90,1,3,1,12,1,19,"40, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",TRUE,rolling,identical,7,"Stock Car, Europe, NASCAR, Track mods",,,
Copa Fusca,CopaFusca,40,1,3,1,12,1,19,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",FALSE,standing,identical,8,"GT, South America, Retro, One Make",,,
Copa Classic RS,CopaClassicB,30,1,3,1,12,1,19,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",FALSE,standing,,5,"GT, South America, Retro",,,
Gold Classic,CopaClassicFL,34,1,3,1,12,1,19,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",FALSE,standing,,6,"GT, South America, Retro",,,
Copa Truck,CopaTruck,55,1,3,1,12,1,19,"18, 16, 14, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",FALSE,rolling,,8,"Truck, South America",,,
Endurance Brasil,"P1Gen2, GT3_Gen2, GT4",90,1,3,1,12,1,19,"150, 130, 115, 105, 100, 95, 90, 85, 80, 75",TRUE,rolling,,6,"GT, Prototype, Multiclass, South America",,,
Formula Inter,F-Inter,50,1,3,1,12,1,22,"20, 15, 12, 10, 8, 6, 4, 3, 2, 1",FALSE,standing,,5,"Open Wheel, South America",,,
Formula Vee Brasil,F-Vee_Gen2,30,1,3,1,12,1,23,"25,21,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",FALSE,standing,,6,"Open Wheel, South America",,,
Caterham Academy,Cat_Academy,30,1,3,1,12,1,19,"25, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",FALSE,standing,,6,"Caterham, One Make, United Kingdom, Track mods",,,
Caterham Roadsport,Cat_Supersport,35,1,3,1,12,1,19,"25, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 1, 1, 1, 1, 1, 1, 1, 1",FALSE,standing,,8,"Caterham, One Make, Europe, Track mods",,,
Caterham Seven Championship,Cat_Superlight,40,1,3,1,12,1,19,"25, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 1, 1, 1, 1, 1, 1, 1, 1",FALSE,standing,,8,"Caterham, One Make, Europe",,,
Lurani Trophy Formula Junior,F-Junior,50,1,3,1,12,1,19,"10, 8, 6, 4, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",FALSE,standing,identical,5,"Historic, Open Wheel, Europe, Track mods",,,
Formula Junior Historics North America,F-Junior,50,1,3,1,12,1,19,"10, 8, 6, 4, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",FALSE,standing,identical,5,"Historic, Open Wheel, North America, Track mods",,,
Turismo Carretera,StockCarV8_2023,80,1,3,1,12,1,19,"40, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",TRUE,rolling,,6,"Stock Car, South America",,,
European Truck Racing Championship,CopaTruck,70,1,3,1,12,1,19,"10, 9, 8, 7, 6, 5, 4, 3, 2, 1",FALSE,rolling,,8,"Truck, Europe, Track mods",,,
Aussie Racing Cars Super Series,ARC_Cam,50,1,3,1,12,1,19,"51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30",FALSE,rolling,,6,"ARC, Australia, Track mods",,,
Fiat Uno ASM,CopaUno,35,1,3,1,12,1,19,"18, 15, 13, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2",FALSE,standing,identical,5,"GT, South America, Retro",,,
GT5 Intercontinental Clash,GT5,40,1,3,1,12,1,19,"25, 20, 17, 14, 12, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",FALSE,standing,,6,"GT, World",,,
Puma GT5 Desafio,GT5,35,1,3,1,12,1,19,"25, 20, 17, 14, 12, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",FALSE,standing,,6,"GT, South America",,,
British GT Open,GTOpen,60,1,3,1,12,1,19,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",TRUE,rolling,,8,"GT, United Kingdom",,,
Formula 1 (Vintage Gen 1),F-Vintage_Gen1,100,1,3,1,12,1,19,"9,6,4,3,2,1",FALSE,standing,,9,"Open Wheel, World, F1, Track mods",1967,1968,
Formula 1 (Vintage Gen 2),F-Vintage_Gen2,100,1,3,1,12,1,19,"9,6,4,3,2,1",FALSE,standing,,10,"Open Wheel, World, F1, Track mods",1969,1973,
Formula 1 (Retro Gen 1),F-Retro_Gen1,100,1,3,1,12,1,19,"9,6,4,3,2,1",FALSE,standing,,12,"Open Wheel, World, F1, Track mods",1974,1977,
Formula 1 (Retro Gen 2),F-Retro_Gen2,100,1,3,1,12,1,19,"9,6,4,3,2,1",FALSE,standing,,12,"Open Wheel, World, F1, Track mods",1978,1982,
Formula 1 (Retro Gen 3),F-Retro_Gen3,100,1,3,1,12,1,19,"9,6,4,3,2,1",FALSE,standing,,12,"Open Wheel, World, F1, Track mods",1983,1985,
Formula 1 (Classic Gen 1),F-Classic_Gen1,100,1,3,1,12,1,19,"9,6,4,3,2,1",FALSE,standing,,12,"Open Wheel, World, F1",1986,1987,
Formula 1 (Classic Gen 2),F-Classic_Gen2,100,1,3,1,12,1,19,"9,6,4,3,2,1",FALSE,standing,,12,"Open Wheel, World, F1",1988,1989,
Formula 1 (Classic Gen 3),F-Classic_Gen3,100,1,3,1,12,1,19,"9,6,4,3,2,1",FALSE,standing,,12,"Open Wheel, World, F1",1990,1990,
Formula 1 (Classic Gen 4),F-Classic_Gen4,100,1,3,1,12,1,19,"10,6,4,3,2,1",FALSE,standing,,12,"Open Wheel, World, F1",1991,1991,
Formula 1 (HiTech Gen 1),F-Hitech_Gen1,100,1,3,1,12,1,19,"10,6,4,3,2,1",FALSE,standing,,13,"Open Wheel, World, F1",1992,1992,
Formula 1 (HiTech Gen 2),F-Hitech_Gen2,100,1,3,1,12,1,19,"10,6,4,3,2,1",FALSE,standing,,14,"Open Wheel, World, F1",1993,1994,
Formula 1 (Edge),FE-G1,100,1,3,1,12,1,19,"10,6,4,3,2,1",FALSE,standing,,14,"Open Wheel, World, F1",1995,1996,
Formula 1 (V10 Gen 1),F-V10_Gen1,100,1,3,1,12,1,19,"10,6,4,3,2,1",FALSE,standing,,14,"Open Wheel, World, F1",1997,1999,
Formula 1 (V10 Gen 2),F-V10_Gen2,100,1,3,1,12,1,19,"10,8,6,5,4,3,2,1",FALSE,standing,,14,"Open Wheel, World, F1, Track mods",2000,2009,
Formula 1 (V8 Gen 3),F-Reiza,100,1,3,1,12,1,19,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",TRUE,standing,,12,"Open Wheel, World, F1, Track mods",2010,2015,
Formula 1 (Hybrid Gen 1),F-Ultimate_Gen1,100,1,3,1,12,1,19,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",TRUE,standing,,12,"Open Wheel, World, F1, Track mods",2016,2018,
Formula 1 (Hybrid Gen 2),F-Ultimate,100,1,3,1,12,1,19,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",TRUE,standing,,14,"Open Wheel, World, F1, Track mods",2019,2021,
Formula 1 (Hybrid Gen 3),F-Ultimate_Gen2,100,1,3,1,12,1,19,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",TRUE,standing,,16,"Open Wheel, World, F1, Track mods",2022,,
Stock Car Brasil (1979),Opala79,90,1,3,1,12,1,19,"25,20,16,14,12,10,9,8,7,6,5,4,3,2,1",FALSE,rolling,identical,10,"Stock Car, South America",1979,1985,
Stock Car Brasil (1986),Opala86,90,1,3,1,12,1,19,"25,20,16,14,12,10,9,8,7,6,5,4,3,2,1",FALSE,rolling,identical,10,"Stock Car, South America",1986,1998,
Stock Car Brasil (1999),StockCar99,90,1,3,1,12,1,19,"25,20,16,14,12,10,9,8,7,6,5,4,3,2,1",FALSE,rolling,identical,10,"Stock Car, South America",1999,2009,
Stock Car Brasil (2010),StockCarV8,90,1,3,1,12,1,19,"30,26,22,19,17,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",FALSE,rolling,identical,10,"Stock Car, South America",2010,2019,
Stock Car Brasil (2020),StockCarV8_2020,90,1,3,1,12,1,19,"30,26,22,19,17,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",TRUE,rolling,,10,"Stock Car, South America",2020,2020,
Stock Car Brasil (2021),StockCarV8_2021,90,1,3,1,12,1,19,"30,26,22,19,17,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",TRUE,rolling,,10,"Stock Car, South America",2021,2021,
Stock Car Pro Series (2022),StockCarV8_2022,90,1,3,1,12,1,19,"30,26,22,19,17,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",TRUE,rolling,,10,"Stock Car, South America",2022,2022,
Stock Car Pro Series (2023),StockCarV8_2023,90,1,3,1,12,1,19,"30,26,22,19,17,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",TRUE,rolling,,12,"Stock Car, South America",2023,2023,
Stock Car Pro Series,StockCarV8_2024,90,1,3,1,12,1,19,"80,74,69,64,59,55,51,47,43,40,37,34,31,28,25,22,19,17,15,13,12,11,10,9,8,7,6,5,4,3",TRUE,rolling,,12,"Stock Car, South America",2024,,
NASCAR Brasil Series,SprintRace,80,1,3,1,12,1,19,"40, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",TRUE,rolling,identical,10,"Stock Car, South America, NASCAR",2012,,
Old Stock Race,OldStock,45,1,3,1,12,1,19,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",FALSE,rolling,identical,8,"Stock Car, South America, Retro",2017,,
Stock Light Brasil,Montana,70,1,3,1,12,1,19,"24, 20, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",FALSE,rolling,identical,8,"Stock Car, South America",2000,,
